const&18.069 \\
land\_size&0.102 \\
building\_age&0.023 \\
frontage\_size\_bin\_14.5-50.0&0.022 \\
price\_per\_square&0.015 \\
frontage\_size\_bin\_11.1-14.5&0.013 \\
is\_rc&0.007 \\
frontage\_size\_bin\_9.5-11.1&0.007 \\
building\_size&0.006 \\
is\_steel&0.003 \\
term&0.002 \\
x&0.002 \\
is\_commercial\_area&0.002 \\
is\_used\_for\_store&0.001 \\
front\_load\_width&0.001 \\
area\_成城&0.001 \\
area\_玉川&0.001 \\
area\_玉堤&-0.001 \\
is\_irregular\_shape&-0.001 \\
walk\_time\_bin\_15.0-18.0&-0.001 \\
area\_喜多見&-0.001 \\
is\_bag\_fabric&-0.001 \\
frontage\_size\_bin\_6.4-7.4&-0.001 \\
frontage\_size\_bin\_5.3-6.4&-0.002 \\
frontage\_size\_bin\_4.0-5.3&-0.002 \\
walk\_time\_bin\_18.0-120.0&-0.002 \\
coverage\_ratio&-0.002 \\
area\_宇奈根&-0.002 \\
is\_no\_front\_road&-0.004 \\
